,features_used,removed,scores
0,"['5 day ema', '7 day ema', '14 day ema', '30 day ema', '100 day ema', '200 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '7 day upper bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '30 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '100 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '30 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",3 day ema,0.5813953488372093
1,"['5 day ema', '7 day ema', '14 day ema', '30 day ema', '100 day ema', '200 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '30 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '100 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '30 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",7 day upper bband,0.5796064400715564
2,"['5 day ema', '7 day ema', '14 day ema', '30 day ema', '100 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '30 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '100 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '30 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",200 day ema,0.5796064400715564
3,"['5 day ema', '7 day ema', '14 day ema', '30 day ema', '100 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '100 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '30 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",30 day cumulation,0.5796064400715564
4,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '100 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '30 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",30 day ema,0.5796064400715564
5,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '30 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",100 day momentum,0.5796064400715564
6,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day moving deviation', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",30 day simple moving average,0.5796064400715564
7,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '200 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",7 day moving deviation,0.5796064400715564
8,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Adj Close', 'Volume']",200 day momentum,0.5796064400715564
9,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '14 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",Adj Close,0.5778175313059034
10,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '200 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",14 day momentum,0.5796064400715564
11,"['5 day ema', '7 day ema', '14 day ema', '100 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",200 day cumulation,0.6028622540250447
12,"['5 day ema', '7 day ema', '14 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",100 day ema,0.6028622540250447
13,"['5 day ema', '7 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '14 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",14 day ema,0.6064400715563506
14,"['5 day ema', '7 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26 day ema', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",14 day cumulation,0.6082289803220036
15,"['5 day ema', '7 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '30 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",26 day ema,0.6046511627906976
16,"['5 day ema', '7 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '12 day ema', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",30 day momentum,0.6028622540250447
17,"['5 day ema', '7 day ema', '7 day simple moving average', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",12 day ema,0.6028622540250447
18,"['5 day ema', '7 day ema', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', '26/12 macd 9 day signal', 'Volume']",7 day simple moving average,0.5974955277280859
19,"['5 day ema', '7 day ema', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '3 day momentum', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",26/12 macd 9 day signal,0.6082289803220036
20,"['5 day ema', '7 day ema', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",3 day momentum,0.6135957066189625
21,"['5 day ema', '7 day ema', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",7 day lower bband,0.6207513416815742
22,"['7 day ema', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",5 day ema,0.6225402504472272
23,"['7 day ema', '3 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",5 day cumulation,0.6243291592128801
24,"['3 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",7 day ema,0.6225402504472272
25,"['3 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",7 day cumulation,0.629695885509839
26,"['3 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",5 day simple moving average,0.629695885509839
27,"['100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",3 day cumulation,0.6153846153846154
28,"['5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",100 day cumulation,0.6100178890876565
29,"['5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '26/12 macd', 'Volume']",200 day simple moving average,0.6028622540250447
30,"['5 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '26/12 macd', 'Volume']",7 day momentum,0.627906976744186
31,"['5 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '26/12 macd', 'Volume']",100 day simple moving average,0.6422182468694096
32,"['5 day momentum', '7 day simple moving average', '14 day simple moving average', '26/12 macd', 'Volume']",3 day simple moving average,0.6440071556350626
33,"['5 day momentum', '7 day simple moving average', '14 day simple moving average', '26/12 macd']",Volume,0.6350626118067979
34,"['7 day simple moving average', '14 day simple moving average', '26/12 macd']",5 day momentum,0.6368515205724508
35,"['7 day simple moving average', '26/12 macd']",14 day simple moving average,0.6332737030411449
36,['26/12 macd'],7 day simple moving average,0.554561717352415
